"GEO_ID","NAME","B25136_001E","B25136_001M","B25136_002E","B25136_002M","B25136_003E","B25136_003M","B25136_004E","B25136_004M","B25136_005E","B25136_005M","B25136_006E","B25136_006M","B25136_007E","B25136_007M","B25136_008E","B25136_008M","B25136_009E","B25136_009M","B25136_010E","B25136_010M","B25136_011E","B25136_011M","B25136_012E","B25136_012M","B25136_013E","B25136_013M",
"Geography","Geographic Area Name","Estimate!!Total Housing Units:","Margin of Error!!Total Housing Units:","Estimate!!Total Housing Units:!!Occupied Units","Margin of Error!!Total Housing Units:!!Occupied Units","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, detached","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, attached","Estimate!!Total Housing Units:!!Occupied Units!!2-9 units","Margin of Error!!Total Housing Units:!!Occupied Units!!2-9 units","Estimate!!Total Housing Units:!!Occupied Units!!10 or more units","Margin of Error!!Total Housing Units:!!Occupied Units!!10 or more units","Estimate!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Margin of Error!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Estimate!!Total Housing Units:!!Vacant Units","Margin of Error!!Total Housing Units:!!Vacant Units","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, detached","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, attached","Estimate!!Total Housing Units:!!Vacant Units!!2-9 units","Margin of Error!!Total Housing Units:!!Vacant Units!!2-9 units","Estimate!!Total Housing Units:!!Vacant Units!!10 or more units","Margin of Error!!Total Housing Units:!!Vacant Units!!10 or more units","Estimate!!Total Housing Units:!!Vacant Units!!Mobile home","Margin of Error!!Total Housing Units:!!Vacant Units!!Mobile home",
"0500000US39035","Cuyahoga County, Ohio","615513","271","554173","1923","342678","2291","28955","1243","75082","1831","104549","2279","2909","345","61340","1970","23451","1351","3902","439","17495","957","15840","1127","652","196",
"1400000US39035117900","Census Tract 1179; Cuyahoga County; Ohio","1385","158","1097","201","388","207","76","51","465","172","168","93","0","13","288","145","33","43","0","13","207","124","48","68","0","13",
"1400000US39035118101","Census Tract 1181.01; Cuyahoga County; Ohio","940","134","719","133","311","124","164","70","179","75","45","45","20","28","221","65","55","39","61","45","95","58","10","17","0","13",
"1400000US39035118200","Census Tract 1182; Cuyahoga County; Ohio","888","188","681","200","392","108","83","60","206","188","0","13","0","13","207","83","154","77","18","30","35","36","0","13","0","13",
"1400000US39035118301","Census Tract 1183.01; Cuyahoga County; Ohio","1156","158","936","169","552","169","35","56","94","57","255","152","0","13","220","99","25","45","0","13","116","75","79","63","0","13",
"1400000US39035118602","Census Tract 1186.02; Cuyahoga County; Ohio","1121","136","975","136","121","92","51","49","78","92","725","181","0","13","146","105","0","13","0","13","23","36","123","101","0","13",
"1400000US39035118800","Census Tract 1188; Cuyahoga County; Ohio","1999","169","1560","185","192","70","74","45","767","188","527","96","0","13","439","169","51","60","138","110","145","91","105","98","0","13",
"1400000US39035118900","Census Tract 1189; Cuyahoga County; Ohio","954","151","667","157","151","60","68","38","61","54","380","140","7","11","287","82","15","21","21","33","57","45","194","72","0","13",
"1400000US39035119401","Census Tract 1194.01; Cuyahoga County; Ohio","1531","342","1286","353","637","304","101","69","282","115","266","183","0","13","245","102","0","13","30","48","95","88","120","67","0","13",
"1400000US39035119402","Census Tract 1194.02; Cuyahoga County; Ohio","933","104","654","109","382","93","65","75","152","79","55","47","0","13","279","72","94","54","15","25","170","65","0","13","0","13",
"1400000US39035119501","Census Tract 1195.01; Cuyahoga County; Ohio","1781","179","1350","228","261","187","0","13","261","114","828","207","0","13","431","150","0","13","0","13","116","93","315","124","0","13",
"1400000US39035119502","Census Tract 1195.02; Cuyahoga County; Ohio","1407","181","1219","196","145","97","61","41","300","148","713","242","0","13","188","98","24","38","8","13","46","50","110","88","0","13",
"1400000US39035119600","Census Tract 1196; Cuyahoga County; Ohio","1166","154","1000","174","494","160","0","13","412","160","94","74","0","13","166","101","50","55","0","13","85","80","31","49","0","13",
"1400000US39035119701","Census Tract 1197.01; Cuyahoga County; Ohio","1216","210","1011","203","516","116","23","23","418","185","54","55","0","13","205","73","85","63","0","13","62","43","58","38","0","13",
"1400000US39035119702","Census Tract 1197.02; Cuyahoga County; Ohio","970","127","770","132","356","87","92","99","322","93","0","13","0","13","200","56","88","47","0","13","97","56","0","13","15","24",
"1400000US39035119800","Census Tract 1198; Cuyahoga County; Ohio","1514","292","1159","286","819","292","38","35","302","146","0","13","0","13","355","138","149","93","31","50","147","96","28","46","0","13",
"1400000US39035119900","Census Tract 1199; Cuyahoga County; Ohio","1335","169","986","183","373","144","57","61","433","135","123","112","0","13","349","147","89","82","0","13","160","112","100","82","0","13",
"1400000US39035120200","Census Tract 1202; Cuyahoga County; Ohio","937","109","694","111","74","40","72","55","500","136","48","43","0","13","243","96","30","37","0","13","179","94","34","45","0","13",
"1400000US39035120400","Census Tract 1204; Cuyahoga County; Ohio","940","130","720","144","391","102","39","45","171","103","119","95","0","13","220","102","165","81","0","13","55","47","0","13","0","13",
"1400000US39035120500","Census Tract 1205; Cuyahoga County; Ohio","849","113","697","110","515","99","82","54","100","76","0","13","0","13","152","76","79","68","21","26","52","49","0","13","0","13",
"1400000US39035120600","Census Tract 1206; Cuyahoga County; Ohio","1357","236","981","256","698","232","11","18","246","145","26","43","0","13","376","114","199","95","0","13","177","94","0","13","0","13",
"1400000US39035120701","Census Tract 1207.01; Cuyahoga County; Ohio","901","190","687","194","371","190","5","11","291","109","20","32","0","13","214","76","114","58","0","13","100","65","0","13","0","13",
"1400000US39035120702","Census Tract 1207.02; Cuyahoga County; Ohio","725","71","515","80","423","87","25","24","67","44","0","13","0","13","210","66","147","64","0","13","63","36","0","13","0","13",
"1400000US39035120801","Census Tract 1208.01; Cuyahoga County; Ohio","1060","164","885","169","439","142","15","23","411","127","20","31","0","13","175","138","0","13","49","76","126","113","0","13","0","13",
"1400000US39035120802","Census Tract 1208.02; Cuyahoga County; Ohio","1291","389","1067","386","667","353","34","37","189","91","66","76","111","180","224","85","154","70","16","26","32","34","10","16","12","19",
"1400000US39035121100","Census Tract 1211; Cuyahoga County; Ohio","931","90","720","116","447","95","103","74","170","72","0","13","0","13","211","80","115","60","44","45","52","43","0","13","0","13",
"1400000US39035121200","Census Tract 1212; Cuyahoga County; Ohio","843","233","632","246","509","259","31","40","92","63","0","13","0","13","211","80","131","66","0","13","80","52","0","13","0","13",
"1400000US39035121300","Census Tract 1213; Cuyahoga County; Ohio","1045","193","934","201","577","204","36","42","150","90","171","83","0","13","111","58","39","34","0","13","72","51","0","13","0","13",
"1400000US39035121401","Census Tract 1214.01; Cuyahoga County; Ohio","838","88","612","92","412","83","29","29","115","58","56","39","0","13","226","66","122","52","0","13","104","54","0","13","0","13",
"1400000US39035121403","Census Tract 1214.03; Cuyahoga County; Ohio","1152","204","959","202","795","150","7","14","136","101","21","33","0","13","193","116","156","102","0","13","37","62","0","13","0","13",
